date,sector,avg_change_pct,avg_rsi,avg_adx,avg_macd_diff,breadth_sma20,breadth_sma50,breadth_sma200,total_fund_flow,avg_relative_volume,total_market_cap,composite_score,stock_count
2026-02-17,電子テクノロジー,1.9386,50.51,26.79,0.0,0.4357,0.4966,0.4944,24222894.46,1.5382,16279964399977.443,55.13,443
2026-02-17,非エネルギー鉱物,2.1294,49.84,27.58,0.0,0.3802,0.4835,0.5,6208932.34,1.6603,1028522406571.2361,55.88,242
2026-02-17,非耐久消費財,-0.7508,50.21,28.02,0.0,0.4852,0.4473,0.3502,25764146.71,1.1783,2470054520314.752,45.11,237
2026-02-18,その他,-0.24,52.9,25.06,0.0,0.5644,0.6299,0.6033,-3294519.95,1.2204,338408237565.464,52.19,489
2026-02-18,エネルギー鉱物,-1.964,51.1,26.05,0.0,0.5058,0.5291,0.4593,-3878826.03,0.9823,1770274560277.6091,44.37,172
2026-02-18,テクノロジーサービス,-1.3443,41.02,29.18,0.0,0.2097,0.1815,0.1747,314907135.88,2.6821,13586919198130.406,38.68,887
2026-02-18,ヘルスケアサービス,0.6603,48.63,26.15,0.0,0.3796,0.365,0.3285,-909665.38,1.3864,819830638593.8743,47.44,137
2026-02-18,ヘルスケアテクノロジー,-0.2798,45.39,26.34,0.0,0.3159,0.315,0.3639,17825287.59,1.446,6065128447636.179,45.73,1146
2026-02-18,交通・輸送,3.1395,52.87,28.57,0.0,0.6213,0.6154,0.5799,34691762.68,9.3021,1205986615163.7402,61.13,169
2026-02-18,公益事業,1.6332,60.25,28.73,0.0,0.7717,0.7717,0.6772,1605160.46,1.1627,1715625560501.4565,60.29,127
2026-02-18,商業サービス,-1.1116,43.5,27.17,0.0,0.2614,0.25,0.1932,36738751.98,2.5334,1016066272894.0988,39.7,440
2026-02-18,小売業,0.3908,47.59,27.63,0.0,0.4291,0.4211,0.3846,7923752.7,1.001,6167431761524.282,48.39,247
2026-02-18,政府,0.616,68.59,36.09,0.0,1.0,1.0,1.0,40.39,0.2905,251338199.0,68.12,1
2026-02-18,流通サービス,-3.4649,47.46,27.07,0.0,0.4062,0.4438,0.3562,-2848412.85,7.5469,650057309829.092,37.86,160
2026-02-18,消費者サービス,-1.0444,47.27,27.42,0.0,0.4267,0.3974,0.3453,-5838499.6,1.1204,2171876044597.2554,43.71,307
2026-02-18,生産財製造,-0.9397,52.65,28.62,0.0,0.5333,0.5333,0.5308,-11343972.89,1.3329,3403828476678.503,49.38,390
2026-02-18,産業サービス,0.5587,53.18,28.99,0.0,0.5123,0.5813,0.4877,-13925824.26,1.4417,1422606239653.0977,52.11,203
2026-02-18,素材産業,0.9219,50.95,27.89,0.0,0.4662,0.485,0.4135,1595357.04,1.2641,1095882296738.5374,50.83,266
2026-02-18,耐久消費財,-1.4799,49.36,25.49,0.0,0.4264,0.4467,0.3604,-9074732.38,0.8697,2132752000508.588,42.8,197
2026-02-18,通信,-1.6863,50.77,26.91,0.0,0.4615,0.4308,0.4615,-140940.97,1.143,776383197462.8047,45.28,65
2026-02-18,金融,0.2754,53.54,26.96,0.0,0.5689,0.5728,0.5218,21971917.31,1.5566,11829400707773.295,52.0,1786
2026-02-18,電子テクノロジー,-0.6197,49.77,26.72,0.0,0.4208,0.4819,0.491,34310812.01,1.396,16481615548907.06,48.57,442
2026-02-18,非エネルギー鉱物,-0.6261,48.51,27.37,0.0,0.3154,0.4481,0.4772,-40987908.14,1.5874,999166063993.8477,47.78,241
2026-02-18,非耐久消費財,-1.1799,48.95,28.16,0.0,0.4805,0.4459,0.342,12839242.21,1.4081,2455449599854.023,43.68,231
