シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価
PMTS,"CPI Card Group, Inc.",12.28,USD,-2.3070803500397847,41655,1.2317659895970405,139838963.06443912,USD,10.20357291233901,1.2035,USD,-8.395493986908209,0,金融,強い買い
ANTA,Antalpha Platform Holding Company Class A,9.27,USD,-0.6430868167202625,3588,0.21894736842105264,219490421.02572346,USD,,,,,0,金融,強い買い
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",0.2646,USD,-7.4825174825174745,2595537,1.2691260386283112,30444511.481118884,USD,,-0.4586,USD,58.546506372593335,0,ヘルスケアテクノロジー,強い買い
AEON,"AEON Biopharma, Inc. Class A",1.05,USD,0,90277,1.0308123569141399,25225492.999999996,USD,0.20823004462072384,5.0425,USD,,0,ヘルスケアテクノロジー,強い買い
SEG,Seaport Entertainment Group Inc.,21.3,USD,3.9024390243902474,114386,0.7198062829663172,271257015.93658537,USD,,-9.5626,USD,53.367046878733646,0,消費者サービス,強い買い
OSS,"One Stop Systems, Inc.",9.52,USD,-1.3471502590673656,962137,0.41252575721462476,233387451.4818653,USD,,-0.3244,USD,36.874878381007974,0,電子テクノロジー,強い買い
SLS,"SELLAS Life Sciences Group, Inc.",3.76,USD,-1.3123359580052563,3504365,0.6209339287559263,535582777.5958005,USD,,-0.2869,USD,59.04354032833691,0,ヘルスケアテクノロジー,強い買い
ABUS,Arbutus Biopharma Corporation,4.16,USD,2.7160493827160574,3180231,1.6236350394813126,800067962.2320989,USD,,-0.2218,USD,47.93427230046948,0,ヘルスケアテクノロジー,強い買い
VANI,Vivani Medical Inc.,1.26,USD,-2.325581395348839,186219,0.3335395503156302,91919810.09302324,USD,,-0.4417,USD,-0.27241770715096003,0,ヘルスケアテクノロジー,強い買い
FHTX,"Foghorn Therapeutics, Inc.",5.45,USD,0,136462,0.840775601968887,319269709.99999994,USD,,-1.1867,USD,37.89187208876328,0,ヘルスケアテクノロジー,強い買い
BHM,"Bluerock Homes Trust, Inc. Class A",9.01,USD,0.986325935888805,14051,1.7684668923766251,101906825,USD,,-2.9017,USD,-195.72971871178152,5.6041246357319,金融,強い買い
BLNE,"Beeline Holdings, Inc.",3.02,USD,-3.514376996805108,708119,0.8365177883729408,83820221.57188497,USD,,,,,0,商業サービス,強い買い
MDAI,"Spectral AI, Inc. Class A",1.56,USD,0.6451612903225812,150270,0.41682373490376606,47874673.93548387,USD,,-0.7486,USD,-13.28692493946731,0,ヘルスケアテクノロジー,強い買い
POWW,Outdoor Holding Company,1.92,USD,6.66666666666666,1142989,2.4515087755421576,224852777.59999996,USD,,,,,0,電子テクノロジー,強い買い
FIP,FTAI Infrastructure Incorporation,6.25,USD,0.16025641025640683,765067,0.6920265711313427,726840373.5977563,USD,,-2.4202,USD,-22.11514203542055,1.92307692307692,消費者サービス,強い買い
AISP,Airship AI Holdings Inc Class A,2.6,USD,-4.411764705882357,545320,0.6774927352036069,88856467.27941175,USD,,-1.6223,USD,-438.3315954118874,0,テクノロジーサービス,強い買い
PKOH,Park-Ohio Holdings Corp.,27.45,USD,6.560559006211171,50548,1.8924393028958648,395395492.4650621,USD,13.25126719768284,2.0715,USD,67.80072904009721,1.94099378881988,生産財製造,強い買い
RELY,"Remitly Global, Inc.",13.63,USD,1.33828996282529,2576741,0.7567272605637424,2849296179.42751,USD,145.4642475987193,0.0937,USD,,0,商業サービス,強い買い
GIFT,"Giftify, Inc.",0.98,USD,0.5128205128205132,8760,0.09060275655783993,30344635.56923077,USD,,-0.4264,USD,38.75323182993393,0,テクノロジーサービス,強い買い
SFBS,ServisFirst Bancshares Inc,86.42,USD,0.20871985157700237,213674,0.6641231932143651,4720419089.5266695,USD,17.081414424920442,5.0593,USD,21.65288063864576,1.60598330241187,金融,強い買い
GLBS,Globus Maritime Limited,1.75,USD,-2.2346368715083815,45645,0.779975085909185,36019025,USD,,-0.2247,USD,-264.7360703812317,0,交通・輸送,強い買い
BLX,"Banco Latinoamericano de Comercio Exterior, S.A. Class E",49.68,USD,0.9345794392523383,143799,1.0134012321578831,1742714134.990654,USD,8.27779258864303,6.0016,USD,9.652312133447824,5.07923608289313,金融,強い買い
IDR,Idaho Strategic Resources Inc,39.12,USD,-2.516820333914789,233105,0.4611204293728402,609973680.998754,USD,56.23113410952997,0.6957,USD,34.7472399767577,0,非エネルギー鉱物,強い買い
TRDA,Entrada Therapeutics Inc,10.82,USD,2.5592417061611332,210898,0.8683632782198096,413532083.47109,USD,,-2.5032,USD,-257.0586020830719,0,ヘルスケアテクノロジー,強い買い
ECX,"ECARX Holdings, Inc.",1.86,USD,10.714285714285724,2712734,0.995448669186173,663547786.9642859,USD,,-0.2182,USD,55.704425497360944,0,テクノロジーサービス,強い買い
DWTX,Dogwood Therapeutics Inc,3.02,USD,2.372881355932198,42559,0.9004775436020371,96889049.67457625,USD,,-24.9347,USD,-295.27440474303285,0,ヘルスケアテクノロジー,強い買い
MDXH,MDxHealth S.A.,3.62,USD,-0.8219178082191728,68954,0.6776712654567898,179180365.8410959,USD,,-0.6368,USD,58.30277632268203,0,ヘルスケアテクノロジー,強い買い
NPB,"Northpointe Bancshares, Inc.",17.3,USD,2.4881516587677828,204435,0.7590936399289159,594508559.7867299,USD,8.253423023710702,2.0961,USD,14.403449405086768,0.592417061611374,金融,強い買い
LFWD,Lifeward Ltd.,0.547,USD,-0.707932474133219,197099,0.8746831420943508,10006695.275004542,USD,,-2.9778,USD,-32.92563164003212,0,ヘルスケアテクノロジー,強い買い
SOPA,"Society Pass, Inc.",1.13,USD,-28.481012658227854,2143144,3.9177342064498064,8594243.607594937,USD,,-2.2962,USD,55.0496251199029,0,テクノロジーサービス,強い買い
UCL,"uCloudlink Group, Inc. Sponsored ADR Class A",1.63,USD,0,2210,0.2761533463287849,61609369,USD,7.863000482392667,0.2073,USD,85.42039355992847,0,テクノロジーサービス,強い買い
AIRO,"Airo Group Holdings, Inc.",9.53,USD,-5.643564356435647,307230,0.6827985785308374,298325558.4009901,USD,,-0.0846,USD,,0,電子テクノロジー,強い買い
OKYO,OKYO Pharma Limited,2.09,USD,5.025125628140697,382595,1.5216397015542722,74845245,USD,,-0.1254,USD,-1771.6417910447763,0,ヘルスケアテクノロジー,強い買い
VSTM,"Verastem, Inc.",6.28,USD,-5.563909774436092,1326912,0.7986536466855386,473008310.9473684,USD,,-4.2584,USD,-33.67654445002511,0,ヘルスケアテクノロジー,強い買い
QMCI,"QuoteMedia, Inc.",0.14,USD,0,53494,1.682465796508885,12666919.516407602,USD,,-0.0257,USD,-247.2972972972973,0,商業サービス,強い買い
OCGN,Ocugen Inc,1.42,USD,2.898550724637684,3299125,0.8364701889795741,465601478.60869575,USD,,-0.2167,USD,-23.335230506545255,0,ヘルスケアテクノロジー,強い買い
IESC,"IES Holdings, Inc.",499.78,USD,2.095930707631964,272631,1.1488424600300116,9959614411.67793,USD,29.728459685334442,16.8115,USD,58.4645112640211,0,産業サービス,強い買い
MRBK,Meridian Corporation,20.3,USD,-0.7334963325183305,85099,0.7924338901232338,233804366.52811736,USD,10.754966887417218,1.8875,USD,30.011020801763326,2.44498777506112,金融,強い買い
TNMG,TNL Mediagene,2.67,USD,-13.029315960912049,189823,1.3902841314413654,6823966.866449513,USD,,-63.5882,USD,-920.2188422538827,0,テクノロジーサービス,強い買い
CXDO,"Crexendo, Inc.",6.4,USD,1.2658227848101276,102869,0.5860733444848065,196678715.9493671,USD,45.4222853087296,0.1409,USD,238.7019230769231,0,テクノロジーサービス,強い買い
AVNW,"Aviat Networks, Inc.",26.09,USD,-0.30569354222392753,131248,0.6774443467762706,336621253.24493694,USD,23.070121142452912,1.1309,USD,,0,電子テクノロジー,強い買い
NNBR,"NN, Inc.",1.74,USD,1.1627906976744196,346754,0.7918187964995504,87340708.18604651,USD,,-1.2289,USD,-11.647133642227683,0,生産財製造,強い買い
SEVN,Seven Hills Realty Trust,8.75,USD,0,73391,0.7438998308281917,197737586,USD,8.548261039468542,1.0236,USD,-18.942033576179906,13.4614857142857,金融,強い買い
TTMI,"TTM Technologies, Inc.",93.77,USD,-4.29679526433967,1930515,0.4042636553359247,9689322567.0297,USD,55.64324709233325,1.6852,USD,211.2096029547553,0,電子テクノロジー,強い買い
STRR,"Star Equity Holdings, Inc.",9.99,USD,0.9090909090909076,9830,0.8652635841101358,34324670.263636366,USD,,-1.5758,USD,-36.823825649040565,0,商業サービス,強い買い
TRX,TRX Gold Corporation,1.77,USD,-3.2786885245901667,6129907,0.30148643032762246,507913242.88799995,USD,,-0.015229499999999998,USD,-396.45526746087364,0,非エネルギー鉱物,強い買い
PACS,"PACS Group, Inc.",39.47,USD,3.3246073298429213,829369,0.8875818547686727,6181599810.346857,USD,38.06171648987464,1.037,USD,-40.2856155706553,0,ヘルスケアサービス,強い買い
PRCH,"Porch Group, Inc.",7.39,USD,0.40760869565216523,1676256,1.0390963523555834,778694313.6508152,USD,30.28688524590164,0.244,USD,,0,金融,強い買い
RANI,"Rani Therapeutics Holdings, Inc. Class A",1.34,USD,5.511811023622052,1323817,1.1582236762096842,162838601.0866142,USD,,-0.7908,USD,25.07816200852678,0,ヘルスケアテクノロジー,強い買い
GBFH,GBank Financial Holdings Inc,33.9,USD,-1.4534883720930232,70389,1.1027884226721105,487350250.2122093,USD,23.531861724281548,1.4406,USD,5.926470588235294,0,金融,強い買い
CMPR,Cimpress Plc,76.33,USD,-0.8314927893984678,82908,0.5088906088972993,1853688626.7788749,USD,84.85825458588104,0.8995,USD,-85.09478358851992,0,商業サービス,強い買い
AREN,"Arena Group Holdings, Inc.",3.38,USD,-0.5882352941176475,35296,0.5280330559224945,160434244.94117644,USD,1.2735973473001996,2.6539,USD,,0,テクノロジーサービス,強い買い
MOB,Mobilicom Ltd.,6.2,USD,-4.024767801857582,122329,0.18669544829021864,61625947.800000004,USD,,-0.0031,USD,8.823529411764703,0,電子テクノロジー,強い買い
TNYA,"Tenaya Therapeutics, Inc.",0.79,USD,-6.064209274673001,1980020,0.41312398174052173,171039657.3365042,USD,,-0.7875,USD,46.682464454976305,0,ヘルスケアテクノロジー,強い買い
LOVE,Lovesac Company,13.34,USD,2.5365103766333594,143658,0.507375339717701,194992203.206764,USD,60.663938153706226,0.2199,USD,-35.7768691588785,0,耐久消費財,強い買い
TWI,"Titan International, Inc.",11.1,USD,-2.2026431718061676,559890,0.7808034121118872,709861588.3876653,USD,,-0.0966,USD,23.15035799522673,0,生産財製造,強い買い
CLIR,ClearSign Technologies Corporation,0.6133,USD,-6.93474962063734,66149,0.27474896328982695,32882688.14673748,USD,,-0.117,USD,-2.7216856892010584,0,生産財製造,強い買い
IMNM,"Immunome, Inc.",24.93,USD,1.7551020408163254,975370,0.73168534282058,2750658374.714694,USD,,-2.9562,USD,63.581935102372675,0,ヘルスケアテクノロジー,強い買い
AMNF,"Armanino Foods Of Distinction, Inc.",11.675,USD,0.5598621877691756,40039,2.799205799897933,374370561.0615849,USD,20.718722271517304,0.5635,USD,41.192683537960406,1.43238587424634,非耐久消費財,強い買い
ZYME,Zymeworks Inc.,22.73,USD,0.977343402932025,490077,0.8715636222397337,1713972068.9160373,USD,,-0.8469,USD,43.82834781455197,0,ヘルスケアテクノロジー,強い買い
EBS,Emergent BioSolutions Inc.,11.04,USD,0.09066183136899172,563339,0.8818335608597572,579820411.6482321,USD,8.531684698608963,1.294,USD,,0,ヘルスケアテクノロジー,強い買い
USGO,U.S. GoldMining Inc.,11.45,USD,-9.55766192733018,62724,0.49005039259346067,151978083.92575037,USD,,-0.5335,USD,37.1835629341811,0,非エネルギー鉱物,強い買い
PANL,Pangaea Logistics Solutions Ltd.,8.83,USD,-0.45095828635850227,637209,0.8426849053619501,573717641.5862459,USD,29.85125084516565,0.2958,USD,-37.01022146507666,2.8184892897407,その他,強い買い
CGTX,"Cognition Therapeutics, Inc.",1.14,USD,6.542056074766339,1045807,0.9727609231400304,100632662.57943922,USD,,-0.475,USD,50.386463338207655,0,ヘルスケアテクノロジー,強い買い
BLGO,"BioLargo, Inc.",0.1748,USD,-2.400893355667224,333279,0.9618741363367169,54845715.499720834,USD,,-0.0321,USD,-345.8333333333333,0,素材産業,強い買い
ADMA,"ADMA Biologics, Inc.",16.28,USD,-0.5497861942577877,1412807,0.7624089564476582,3874603930.401955,USD,19.119201409277746,0.8515,USD,208.1795150199059,0,ヘルスケアテクノロジー,強い買い
HSCS,HeartSciences Inc.,3.16,USD,0,5661,0.24429292711345094,10043134,USD,,-6.8747,USD,35.71021106674273,0,ヘルスケアテクノロジー,強い買い
APOG,"Apogee Enterprises, Inc.",42.28,USD,0.9069212410501255,279082,1.2661339275911598,909447680.8677804,USD,22.855289475106762,1.8499,USD,-58.63927022313643,2.48210023866348,生産財製造,強い買い
PTHS,Pelthos Therapeutics Inc.,22.505,USD,1.9248188405797135,2300,0.3041523406506215,72815894.7665308,USD,,,,,0,ヘルスケアテクノロジー,強い買い
ANVS,Annovis Bio Inc,2.4,USD,-3.614457831325313,247387,0.6119459915678613,63606931.08433734,USD,,-1.4836,USD,61.4689382921255,0,ヘルスケアテクノロジー,強い買い
DVAX,Dynavax Technologies Corporation,15.5,USD,0,7106122,3.049070004561512,1820087074,USD,,-0.3819,USD,-393.0928626247122,0,ヘルスケアテクノロジー,強い買い
PNTG,Pennant Group Inc,30.97,USD,0.551948051948046,143387,0.38487905542009304,1071367466.1681817,USD,40.938532716457374,0.7565,USD,9.972379706352667,0,ヘルスケアサービス,強い買い
NOTE,"Fiscalnote Holdings, Inc. Class A",1.22,USD,0,115300,0.4329851301715533,19166073.999999996,USD,,-4.2272,USD,-40.61606014237242,0,テクノロジーサービス,強い買い
