シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
2971,エスコンジャパンリート投資法人,122600,JPY,0.7395234182415776,607,0.7226190476190476,278282715.02578,USD,16.657490327888024,48.833947010500005,USD,12.777422635276139,5.9546925566343,金融,評価なし,25.679030679827026,-1287.617564848566,42.19891176938174,127294,124135,124428
5928,アルメタックス,294,JPY,0.684931506849315,5100,0.16446307642695904,19144076.91928,USD,15.461640406420262,0.12133343880000001,USD,706.8058384249832,2.60586319218241,生産財製造,評価なし,32.349017697000654,5.265164484840511,49.51821423268962,284.62,297.6,276.625
8066,三谷商事,2556,JPY,-0.07818608287724785,21600,1.2887828162291168,1372586024.45946,USD,10.647032139791033,1.5318668889000002,USD,5.85893817796984,2.85820341499629,流通サービス,評価なし,29.93023943265231,46.81688192172169,47.635936406055365,2446.88,2684.7,2276.96
386A,みのや,1490,JPY,-0.6666666666666667,5300,0.5369807497467072,34283550.183860004,USD,20.422764940828806,0.4655437218000001,USD,,0.6635700066357,小売業,評価なし,22.5558831680456,-34.92196933252717,36.93376405170463,1596.64,1561.6,
8214,ＡＯＫＩホールディングス,1743,JPY,0.4032258064516129,161100,0.7833317125352524,923458820.59162,USD,16.79409171713084,0.6622616565,USD,4.5282323366609445,4.56360524814604,小売業,評価なし,26.367186836642897,-20.705334341334492,40.1396433077657,1818.54,1784.3,1720.26
7089,フォースタートアップス,1313,JPY,2.418096723868955,46500,0.8860518292682927,53652208.155999996,USD,13.380209925608886,0.62616753,USD,142.30467226027562,0,テクノロジーサービス,評価なし,28.277683068846944,62.27422705398044,58.988362824568625,1085.75,1287.2,936.3
4882,Ｇ−ペルセウス,293,JPY,1.7361111111111112,13299900,7.037319237424004,30126948.64296,USD,,-0.3279821238,USD,21.29800610631854,0,ヘルスケアテクノロジー,評価なし,16.48891203907803,4.745188080256355,71.12705369614032,238.08,236.5,327.99
6327,北川精機,1662,JPY,-4.756446991404011,760100,1.0673013465885954,86899024.82128,USD,27.332739095684325,0.3880043622,USD,-10.005668472783192,0.62992125984252,生産財製造,評価なし,48.75622832402051,190.416164642146,58.186725494035585,1188.62,1517.35,855.975
7986,日本アイ・エス・ケイ,1964,JPY,3.0971128608923886,1500,0.20026702269692923,20731735.40174,USD,7.231605799423828,1.7329877136,USD,0.5932203389830579,1.55440414507772,生産財製造,評価なし,36.2525691704942,33.40174567258964,60.06835154651434,1833.14,1913.7,1709.64
4382,ＨＥＲＯＺ,862,JPY,2.619047619047619,82300,1.0042708968883465,81000908.40412,USD,,-0.0317312535,USD,93.98334018466599,0,テクノロジーサービス,評価なし,13.73631182889731,2.697960990804063,57.46942515301571,834.98,817.8,995.94
7975,リヒトラブ,1207,JPY,3.516295025728988,1900,0.39337474120082816,25085963.802500002,USD,19.59679632158229,0.3943716551,USD,2.188387113900659,2.09380234505863,生産財製造,評価なし,40.30938123097569,-24.96641133050548,40.14433842449872,1270.78,1264.3,1201.06
5351,品川リフラ,2255,JPY,2.5466120964074577,80000,0.8304785632720856,656213722.32728,USD,3.2316623226723826,4.4525552373,USD,201.03933968214528,3.8643194504079,非エネルギー鉱物,評価なし,31.264503146400862,16.656980184207896,45.78839015107513,2239.6400000000012,2367.4500000000003,1922.304999999999
340A,ジグザグ,378,JPY,3.8461538461538463,28700,0.535547676805374,17882520.98404,USD,11.481021385680311,0.2108117317,USD,,0,耐久消費財,評価なし,18.862999483355843,-2.2396566276673298,46.32296160961855,391.8399999999999,388.3499999999997,517.62308679
1443,技研ホールディングス,312,JPY,4,122500,0.5629854313157774,30880904.76512,USD,8.248054965884247,0.24137472510000002,USD,19.170875089392887,0.342679127725857,産業サービス,評価なし,36.53075594349978,0.45477984710765895,47.283925919523014,304.22,330.15,242
7078,ＩＮＣＬＵＳＩＶＥ　ＨＯＬＤＩＮＧＳ,399,JPY,2.0460358056265986,16500,0.4096325719960278,24920456.3273,USD,,-0.7661992131,USD,-465.25879722254916,0,商業サービス,評価なし,23.12971385212276,-2.176872467716578,46.9984168357638,397.9000000000006,414.75000000000364,458.53000000000065
